timestamp,density,num_cars,spawn_prob,min_gap,actual_vehicle_count,target_vehicle_count
1769249262.6292849,MEDIUM,,,,2,6
1769249263.631147,MEDIUM,,,,2,6
1769249264.6558757,MEDIUM,,,,2,6
1769249265.6585839,MEDIUM,,,,2,6
1769249266.658677,MEDIUM,,,,2,6
1769249267.6813934,MEDIUM,,,,2,6
1769249268.70524,MEDIUM,,,,1,6
1769249269.7059984,MEDIUM,,,,1,6
1769249270.7272763,MEDIUM,,,,2,6
1769249271.75056,MEDIUM,,,,2,6
1769249272.7727058,MEDIUM,,,,2,6
1769249273.7960577,MEDIUM,,,,2,6
1769249274.8184137,MEDIUM,,,,2,6
1769249275.8221672,MEDIUM,,,,2,6
1769249276.8467638,MEDIUM,,,,2,6
1769249277.8702745,MEDIUM,,,,2,6
1769249278.8921695,MEDIUM,,,,2,6
1769249279.9134603,MEDIUM,,,,2,6
1769249280.9355428,MEDIUM,,,,2,6
1769249281.9574497,MEDIUM,,,,2,6
1769249282.9821498,MEDIUM,,,,2,6
1769249284.0046504,MEDIUM,,,,2,6
1769249285.0074322,MEDIUM,,,,2,6
1769249286.0083325,MEDIUM,,,,2,6
1769249287.0304277,MEDIUM,,,,2,6
1769249288.0564833,MEDIUM,,,,2,6
1769249289.0810516,MEDIUM,,,,2,6
1769249290.0842543,MEDIUM,,,,1,6
1769249291.0846171,MEDIUM,,,,2,6
1769249292.1102643,MEDIUM,,,,2,6
1769249293.1349058,MEDIUM,,,,2,6
1769249294.138754,MEDIUM,,,,2,6
1769249295.1613867,MEDIUM,,,,2,6
1769249296.186536,MEDIUM,,,,2,6
1769249297.2072856,MEDIUM,,,,2,6
1769249298.2312531,MEDIUM,,,,2,6
1769249299.2313886,MEDIUM,,,,2,6
1769249300.2343218,MEDIUM,,,,2,6
1769249301.2590766,MEDIUM,,,,2,6
1769249302.2841513,MEDIUM,,,,2,6
1769249303.285316,MEDIUM,,,,2,6
1769249304.3039012,MEDIUM,,,,2,6
1769249305.3250284,MEDIUM,,,,2,6
1769249306.3260849,MEDIUM,,,,2,6
1769249307.32831,MEDIUM,,,,2,6
1769249308.3522463,MEDIUM,,,,1,6
1769249309.3529663,MEDIUM,,,,2,6
1769249310.3741236,MEDIUM,,,,2,6
1769249311.392313,MEDIUM,,,,2,6
1769249312.3960936,MEDIUM,,,,2,6
